Subject No.,"Channel name
",T_Mean,T_Median,T_Variance,T_Standard deviation,T_Skewness,T_Kurtosis,T_Zero-crossing rate,T_Number of waves,T_peaktopeak,T_Hjorth Activity,T_Hjorth Mobility,T_Hjorth Complexity,F_Mean,F_Median,F_Variance,F_Standard Variance,F_Skewness,F_Kurtosis,F_Delta,F_Theta,F_Alpha,F_Beta,F_Gamma,F_Peak Frequency,F_Theta/Alpha,F_Beta/Alpha,F_Theta/Beta,"
F_Gamma/Delta",F_(Theta+Alpha)/Beta,F_(Theta+Alpha)/(Alpha+Beta),F_(Gamma+Beta)/(Delta+Alpha),lebel
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cz,-0.01623696027,-0.02489829659,41.7723894,6.463156303,-0.02330563664,2.709020628,0.30203125,0,41.61242858,41.7723894,0.943170948,1.438929639,2054.876956,1195.62891,9647446.935,3106.033956,3106.033956,17.20575137,8214.797579,22215.61691,17167.04943,65311.22022,68973.54074,26,1.294084753,3.804452274,0.340150082,8.396255669,0.6030000084,0.477491423,5.290582712,0
1,Fz,-0.2182470972,-0.4346203184,57.14671759,7.5595448,0.08312614753,2.909717917,0.25109375,0,53.14323158,57.14671759,0.7998479654,1.632379561,2139.655635,896.1667149,15033902.22,3877.357634,3877.357634,17.69128145,10711.43088,25682.12422,25666.95472,65723.97276,40636.12455,26,1.000591013,2.560645526,0.3907573316,3.7937158,0.781283857,0.5618618867,2.923716805,0
1,Fp1,-0.1630792721,-0.4018711653,55.78162002,7.468709394,0.1841065293,3.04216167,0.24921875,0,52.03157185,55.78162002,0.8156739907,1.635885398,2067.31731,747.9961434,8841613.991,2973.485159,2973.485159,8.230472158,18266.4211,37106.5585,15957.43669,58670.11648,38516.2635,5,2.325345806,3.676662964,0.6324609651,2.108582917,0.9044467332,0.7110509849,2.839726034,0
1,F7,-0.09852570697,-0.3270682845,41.02631176,6.405178511,0.2110708352,3.111159486,0.27671875,0,45.05860534,41.02631176,0.8695166544,1.5614363,1641.425847,835.2728629,4394566.667,2096.322176,2096.322176,6.336940492,15847.38362,21773.04061,10808.31759,50079.88874,38336.7764,3,2.014470839,4.633458289,0.4347661539,2.41912339,0.6505876716,0.5351012974,3.316988903,0
1,F3,-0.02380286163,-0.09911650969,27.35505533,5.23020605,0.01638227936,2.834417559,0.29171875,0,35.29204135,27.35505533,0.9168802355,1.467676928,1276.522144,650.0019343,3498275.758,1870.367814,1870.367814,10.43155663,8431.676406,9013.197768,10893.97931,44472.76036,28799.90158,26,0.8273558732,4.082324657,0.2026678284,3.415679184,0.447626298,0.359551189,3.791470934,0
1,FC1,-0.1095019141,-0.1563282085,28.32177551,5.321820695,0.006526645213,2.788548279,0.29546875,0,35.20247868,28.32177551,0.9207708792,1.461225572,1451.753497,678.926767,4704627.602,2169.015353,2169.015353,12.54860328,5197.979393,9759.72606,18468.67793,45100.48729,44719.64326,26,0.5284474664,2.441998689,0.2163995701,8.603274443,0.6259001995,0.4440581199,3.795218282,0
1,C3,-0.02975472286,-0.1004375663,25.76241049,5.075668477,0.01187546235,2.783394308,0.30828125,0,32.25216135,25.76241049,0.9460035742,1.435520831,1296.459113,683.1188529,2998234.244,1731.541003,1731.541003,7.716914035,7835.832716,7490.979962,14542.50781,40140.35872,45231.34334,26,0.5151092274,2.760208848,0.1866196566,5.772372252,0.5489110828,0.402932201,3.814925506,0
1,FC5,0.03733608908,-0.0261931465,14.52847344,3.811623466,0.03733026229,2.75318944,0.33765625,0,25.55018435,14.52847344,1.013215516,1.366358688,753.1042118,449.4871869,1013669.337,1006.811471,1006.811471,6.408490226,2265.663188,5483.662229,6118.159087,25266.69929,25280.15942,26,0.8962928475,4.129787887,0.2170312064,11.15795126,0.4591743933,0.3696630132,6.029094732,0
1,FT9,0.007526241568,0.06581517314,22.54604797,4.748267892,-0.04049857268,2.552450417,0.39078125,0,29.10888843,22.54604797,1.123860406,1.236732529,1130.293497,545.0551528,1719548.629,1311.31561,1311.31561,3.782301989,6172.467001,6927.788094,5294.840873,36058.36317,44108.73955,26,1.308403455,6.810093832,0.1921270819,7.14604704,0.3389679368,0.2955666737,6.99092617,0
1,T7,-0.0169550086,0.01707179569,23.98510264,4.897458794,-0.0465075528,2.419401958,0.40015625,0,26.64162494,23.98510264,1.160606599,1.205440748,1155.645261,662.7668692,1805134.48,1343.552932,1343.552932,4.11686587,5666.695152,7248.665238,6985.127673,34855.55406,46935.85171,27,1.037728382,4.989966639,0.2079629899,8.282755725,0.4083651313,0.3401902723,6.46479222,0
1,CP5,-0.03155116462,-0.005318618255,32.2881119,5.682262921,-0.05299294034,2.514786682,0.37203125,0,34.27004851,32.2881119,1.092007821,1.265453748,1414.60398,763.1018836,2834216.533,1683.513152,1683.513152,4.304122987,5467.046253,13702.69993,11946.79226,40237.7582,51055.27414,26,1.146977334,3.368080513,0.3405433241,9.338730968,0.6374483405,0.491515055,5.242556504,0
1,CP1,-0.05139944803,0.002798605415,24.49107512,4.948845838,-0.01686707351,2.595399553,0.31265625,0,32.7823561,24.49107512,0.9679871252,1.413744968,1112.969229,603.9361385,1723213.082,1312.712109,1312.712109,4.075775368,3037.503065,8807.624656,9815.332992,35544.55347,38561.83009,28,0.8973332502,3.621329352,0.2477911184,12.69523989,0.5239328063,0.4105600587,5.765761208,0
1,P3,-0.008917753543,0.03725119066,22.39982224,4.732845047,-0.01635955045,2.570497406,0.32484375,0,29.21191726,22.39982224,1.007851118,1.369934292,1133.272011,525.5781635,1849721.729,1360.044752,1360.044752,4.02852089,1611.85678,7912.668828,15708.00343,34337.72856,37829.50414,10,0.5037348548,2.186002104,0.2304365828,23.4695195,0.687892684,0.4719817519,4.166732976,0
1,P7,0.00209686841,0.04660995908,18.65865317,4.319566318,-0.01368061401,2.572787312,0.34984375,0,26.10579067,18.65865317,1.058299968,1.314566765,958.73228,487.2391685,1342852.639,1158.815188,1158.815188,4.260939906,5444.182701,5938.782307,14494.25379,23229.03804,39875.47874,10,0.4097335671,1.602637733,0.2556619993,7.324419647,0.8796333306,0.5416557015,3.164968166,0
1,PO9,0.01556333303,-0.147687809,29.38516191,5.420808234,0.03849485542,2.597980996,0.36609375,0,34.14700194,29.38516191,1.07447702,1.292127935,1705.483158,985.3449284,5461335.413,2336.950024,2336.950024,11.61135694,10938.17958,11724.32716,17959.89071,47280.47248,75208.07266,26,0.6528061527,2.632559031,0.2479739846,6.875739431,0.6278325132,0.4549977409,4.238640986,0
1,O1,0.004203304029,-0.1395264702,26.17414389,5.116067229,0.02912822718,2.55812314,0.37796875,0,31.72686993,26.17414389,1.098265748,1.277972983,1428.323395,774.8743567,4667024.718,2160.329771,2160.329771,20.78900288,5262.061866,8927.352159,13874.20999,40996.36704,63853.47387,26,0.6434494047,2.954861363,0.217759592,12.13468703,0.5561849451,0.4155517107,5.479115352,0
1,Pz,0.01218936181,-0.09085277334,23.33521321,4.830653497,9.60E-05,2.604273102,0.35484375,0,30.32698617,23.33521321,1.06465788,1.312523768,1217.712868,688.194948,3047746.907,1745.779742,1745.779742,17.01072926,2588.203933,9713.928292,13073.34351,34159.17195,45662.517,26,0.7430332023,2.612887203,0.2843724756,17.64254988,0.6670908719,0.4824488296,5.096666804,0
1,Oz,0.001996809899,0.04787857168,23.47978202,4.845594083,-0.01619438537,2.63406241,0.34046875,0,29.66270593,23.47978202,1.026078684,1.351498808,1131.262242,414.1541714,1707420.682,1306.683084,1306.683084,3.689406117,7943.880555,6560.895822,14644.03139,26134.8579,43291.65228,10,0.4480252498,1.784676447,0.2510400418,5.449685701,0.8113656975,0.5199976649,3.07361346,0
1,O2,-0.003072527929,-0.1306695614,31.18683764,5.584517673,0.02920931585,2.686201996,0.34359375,0,34.23738794,31.18683764,1.02203799,1.347801773,1427.221531,876.830251,3719561.882,1928.616572,1928.616572,9.69243295,16509.39029,8462.684102,19883.7949,28412.8623,48311.65993,3,0.4256070909,1.428945654,0.2978469403,2.926314,0.9976636178,0.5869242437,2.108211245,0
